"DATE","PX_LAST"
"2004-12-31",108.8475
"2005-01-31",109.5618
"2005-02-28",111.2214
"2005-03-31",109.353
"2005-04-29",108.8606
"2005-05-31",109.0908
"2005-06-30",111.1082
"2005-07-29",112.9769
"2005-08-31",114.1967
"2005-09-30",114.9487
"2005-10-31",114.9455
"2005-11-30",115.5945
"2005-12-30",116.4389
"2006-01-31",118.3227
"2006-02-28",118.7211
"2006-03-31",119.3316
"2006-04-28",119.9998
"2006-05-31",120.0983
"2006-06-30",119.7065
"2006-07-31",121.1515
"2006-08-31",122.8503
"2006-09-29",123.8671
"2006-10-31",125.5025
"2006-11-30",126.66
"2006-12-29",127.4378
"2007-01-31",128.3449
"2007-02-28",129.0592
"2007-03-30",129.2878
"2007-04-30",130.3087
"2007-05-31",131.2521
"2007-06-29",129.27
"2007-07-31",124.0675
"2007-08-31",124.5444
"2007-09-28",127.7442
"2007-10-31",128.6862
"2007-11-30",124.9308
"2007-12-31",125.3047
"2008-01-31",119.6793
"2008-02-29",118.0884
"2008-03-31",117.9047
"2008-04-30",124.7557
"2008-05-30",125.6175
"2008-06-30",119.5787
"2008-07-31",117.8691
"2008-08-29",119.1301
"2008-09-30",109.7502
"2008-10-31",91.6382
"2008-11-28",86.6504
"2008-12-31",87.3755
"2009-01-30",93.747
"2009-02-27",92.4894
"2009-03-31",92.0856
"2009-04-30",100.7503
"2009-05-29",109.5689
"2009-06-30",111.5064
"2009-07-31",117.2514
"2009-08-31",120.8801
"2009-09-30",126.587
"2009-10-30",129.0796
"2009-11-30",129.9507
"2009-12-31",132.6177
"2010-01-29",135.4018
"2010-02-26",135.5249
"2010-03-31",140.8507
"2010-04-30",142.1994
"2010-05-31",137.4207
"2010-06-30",139.0022
"2010-07-30",143.6631
"2010-08-31",145.142
"2010-09-30",148.0825
"2010-10-29",150.0714
"2010-11-30",147.8022
"2010-12-31",150.8782
"2011-01-31",153.8663
"2011-02-28",155.7653
"2011-03-31",154.3053
"2011-04-07",151.7073
"2011-04-08",151.7483
"2011-04-11",151.7611
"2011-04-12",151.7083
"2011-04-13",151.6838
"2011-04-14",151.6173
"2011-04-15",151.6859
"2011-04-18",151.6917
"2011-04-19",151.5736
"2011-04-20",151.7806
"2011-04-21",151.9819
"2011-04-26",152.1831
"2011-04-27",152.1913
"2011-04-28",152.3607
"2011-04-29",156.4023
"2011-05-02",152.4505
"2011-05-03",152.6801
"2011-05-04",152.8316
"2011-05-05",152.9485
"2011-05-06",152.9475
"2011-05-09",153.1033
"2011-05-10",153.2203
"2011-05-11",153.3373
"2011-05-12",153.3192
"2011-05-13",153.3869
"2011-05-16",153.4933
"2011-05-17",153.5849
"2011-05-18",153.5602
"2011-05-19",153.6045
"2011-05-20",153.584
"2011-05-23",153.3832
"2011-05-24",153.3838
"2011-05-25",153.3546
"2011-05-26",153.3062
"2011-05-27",153.3379
"2011-05-31",157.3965
"2011-06-01",153.4346
"2011-06-02",153.3236
"2011-06-03",153.2824
"2011-06-06",153.2872
"2011-06-07",153.289
"2011-06-08",153.2396
"2011-06-09",153.079
"2011-06-10",153.008
"2011-06-13",152.6057
"2011-06-14",152.4942
"2011-06-15",152.3899
"2011-06-16",151.6522
"2011-06-17",151.5459
"2011-06-20",151.5872
"2011-06-21",151.6813
"2011-06-22",151.7124
"2011-06-23",151.3216
"2011-06-24",151.2679
"2011-06-27",150.807
"2011-06-28",150.8312
"2011-06-29",151.1942
"2011-06-30",155.5192
"2011-07-01",152.0344
"2011-07-04",152.2544
"2011-07-05",152.3372
"2011-07-06",152.0206
"2011-07-07",151.9354
"2011-07-08",151.8777
"2011-07-11",151.2497
"2011-07-12",150.4696
"2011-07-13",150.7896
"2011-07-14",150.7097
"2011-07-15",150.5766
"2011-07-18",150.1806
"2011-07-19",150.0715
"2011-07-20",150.3559
"2011-07-21",150.9797
"2011-07-22",151.7453
"2011-07-25",151.7663
"2011-07-26",151.8197
"2011-07-27",151.7476
"2011-07-28",151.5122
"2011-07-29",155.4249
"2011-08-01",151.7376
"2011-08-02",151.1468
"2011-08-03",150.3214
"2011-08-04",149.6645
"2011-08-05",147.9212
"2011-08-08",146.7958
"2011-08-09",144.1262
"2011-08-10",144.4203
"2011-08-11",142.5074
"2011-08-12",142.6021
"2011-08-15",143.5879
"2011-08-16",143.6726
"2011-08-17",144.4336
"2011-08-18",144.4199
"2011-08-19",143.5618
"2011-08-22",143.1411
"2011-08-23",142.3846
"2011-08-24",141.2709
"2011-08-25",141.7442
"2011-08-26",141.5892
"2011-08-30",142.1908
"2011-08-31",147.0979
"2011-09-01",144.1397
"2011-09-02",143.8897
"2011-09-05",142.8911
"2011-09-06",142.2002
"2011-09-07",142.3508
"2011-09-08",142.5424
"2011-09-09",142.1389
"2011-09-12",140.277
"2011-09-13",139.5809
"2011-09-14",139.5817
"2011-09-15",140.026
"2011-09-16",140.5542
"2011-09-19",140.1739
"2011-09-20",139.9927
"2011-09-21",140.1351
"2011-09-22",138.7825
"2011-09-23",138.3975
"2011-09-26",138.3002
"2011-09-27",138.7717
"2011-09-28",138.6035
"2011-09-29",138.6837
"2011-09-30",142.2343
"2011-10-03",137.845
"2011-10-04",136.3078
"2011-10-05",136.2396
"2011-10-06",136.8729
"2011-10-07",137.1908
"2011-10-10",138.0575
"2011-10-11",139.0975
"2011-10-12",140.0891
"2011-10-13",140.893
"2011-10-14",141.6824
"2011-10-17",142.9709
"2011-10-18",142.6025
"2011-10-19",143.2622
"2011-10-20",143.6313
"2011-10-21",143.9888
"2011-10-24",144.724
"2011-10-25",145.3575
"2011-10-26",145.7615
"2011-10-27",147.8812
"2011-10-28",148.6659
"2011-10-31",152.1725
"2011-11-01",149.3855
"2011-11-02",149.5913
"2011-11-03",149.6445
"2011-11-04",150.1847
"2011-11-07",149.9081
"2011-11-08",150.1427
"2011-11-09",149.57
"2011-11-10",148.9989
"2011-11-11",149.3048
"2011-11-14",149.8356
"2011-11-15",149.2048
"2011-11-16",148.8861
"2011-11-17",148.7519
"2011-11-18",148.458
"2011-11-21",148.0681
"2011-11-22",147.3272
"2011-11-23",145.9399
"2011-11-24",145.3703
"2011-11-25",145.0198
"2011-11-28",145.0519
"2011-11-29",144.8309
"2011-11-30",145.2994
"2011-12-01",145.8422
"2011-12-02",146.4865
"2011-12-05",147.5255
"2011-12-06",147.9024
"2011-12-07",148.4909
"2011-12-08",148.5254
"2011-12-09",148.2627
"2011-12-12",148.0728
"2011-12-13",147.8019
"2011-12-14",147.3945
"2011-12-15",147.5181
"2011-12-16",147.6354
"2011-12-19",147.7967
"2011-12-20",147.9826
"2011-12-21",148.4712
"2011-12-22",148.6063
"2011-12-23",148.7231
"2011-12-28",148.9563
"2011-12-29",149.0893
"2011-12-30",149.1442
"2012-01-03",150.4701
"2012-01-04",150.8775
"2012-01-05",150.9042
"2012-01-06",151.1076
"2012-01-09",151.2259
"2012-01-10",151.5758
"2012-01-11",151.739
"2012-01-12",152.2476
"2012-01-13",152.7138
"2012-01-16",152.8505
"2012-01-17",153.4564
"2012-01-18",153.8884
"2012-01-19",154.6305
"2012-01-20",154.9822
"2012-01-23",155.467
"2012-01-24",155.6852
"2012-01-25",156.2657
"2012-01-26",157.1416
"2012-01-27",157.46
"2012-01-30",157.1852
"2012-01-31",157.5017
"2012-02-01",158.2363
"2012-02-02",158.885
"2012-02-03",159.5417
"2012-02-06",159.7107
"2012-02-07",159.7394
"2012-02-08",160.0333
"2012-02-09",160.0445
"2012-02-10",159.9253
"2012-02-13",160.0352
"2012-02-14",160.0182
"2012-02-15",159.9074
"2012-02-16",159.3629
"2012-02-17",159.8878
"2012-02-20",160.4759
"2012-02-21",161.0129
"2012-02-22",161.2355
"2012-02-23",161.492
"2012-02-24",161.9861
"2012-02-27",162.0859
"2012-02-28",162.6362
"2012-02-29",163.44
"2012-03-01",163.9897
"2012-03-02",164.2621
"2012-03-05",164.1748
"2012-03-06",163.423
"2012-03-07",163.3367
"2012-03-08",163.8271
"2012-03-09",164.2062
"2012-03-12",164.6001
"2012-03-13",165.0132
"2012-03-14",165.6339
"2012-03-15",165.7744
"2012-03-16",166.014
"2012-03-19",166.2987
"2012-03-20",166.1316
"2012-03-21",166.0558
"2012-03-22",165.5949
"2012-03-23",165.2979
"2012-03-26",165.3761
"2012-03-27",165.6785
"2012-03-28",165.7438
"2012-03-29",165.5206
"2012-03-30",165.4412
"2012-04-02",165.3147
"2012-04-03",165.3627
"2012-04-04",164.8774
"2012-04-05",164.2747
"2012-04-10",163.3752
"2012-04-11",162.8782
"2012-04-12",163.2434
"2012-04-13",163.3242
"2012-04-16",163.1524
"2012-04-17",163.4104
"2012-04-18",163.5653
"2012-04-19",163.5814
"2012-04-20",163.5167
"2012-04-23",163.4358
"2012-04-24",163.68
"2012-04-25",164.209
"2012-04-26",164.3452
"2012-04-27",164.6061
"2012-04-30",165.0655
"2012-05-01",165.0971
"2012-05-02",165.7004
"2012-05-03",165.9973
"2012-05-04",166.3792
"2012-05-08",166.0588
"2012-05-09",165.3842
"2012-05-10",165.6899
"2012-05-11",165.7133
"2012-05-14",165.2329
"2012-05-15",164.5742
"2012-05-16",163.7747
"2012-05-17",163.38
"2012-05-18",162.5109
"2012-05-21",162.4337
"2012-05-22",163.037
"2012-05-23",162.6243
"2012-05-24",162.3317
"2012-05-25",162.3858
"2012-05-28",162.6526
"2012-05-29",162.8432
"2012-05-30",162.5257
"2012-05-31",162.3024
"2012-06-01",161.8946
"2012-06-06",161.8718
"2012-06-07",162.3593
"2012-06-08",162.5436
"2012-06-11",163.3042
"2012-06-12",162.9994
"2012-06-13",162.9133
"2012-06-14",162.8171
"2012-06-15",163.2142
"2012-06-18",163.6842
"2012-06-19",163.7538
"2012-06-20",164.2546
"2012-06-21",164.6036
"2012-06-22",164.8169
"2012-06-25",165.134
"2012-06-26",165.0203
"2012-06-27",164.9949
"2012-06-28",165.081
"2012-06-29",165.7452
"2012-07-02",166.2846
"2012-07-03",166.9876
"2012-07-04",167.3014
"2012-07-05",167.5839
"2012-07-06",167.5771
"2012-07-09",167.6112
"2012-07-10",167.8592
"2012-07-11",167.9937
"2012-07-12",168.0575
"2012-07-13",167.8363
"2012-07-16",167.6771
"2012-07-17",167.5456
"2012-07-18",167.8325
"2012-07-19",168.2197
"2012-07-20",168.2922
"2012-07-23",167.5061
"2012-07-24",167.0813
"2012-07-25",166.7878
"2012-07-26",166.9677
"2012-07-27",167.3767
"2012-07-30",168.2404
"2012-07-31",168.7418
"2012-08-01",169.2058
"2012-08-02",169.4729
"2012-08-03",169.8933
"2012-08-06",170.7613
"2012-08-07",171.381
"2012-08-08",171.5777
"2012-08-09",171.8662
"2012-08-10",171.8343
"2012-08-13",171.8377
"2012-08-14",171.9156
"2012-08-15",171.8132
"2012-08-16",171.9962
"2012-08-17",172.1485
"2012-08-20",172.3562
"2012-08-21",172.6076
"2012-08-22",172.6148
"2012-08-23",172.4708
"2012-08-24",172.2847
"2012-08-28",172.4984
"2012-08-29",172.6033
"2012-08-30",172.6149
"2012-08-31",172.7315
"2012-09-03",172.9135
"2012-09-04",173.1242
"2012-09-05",173.2541
"2012-09-06",173.5753
"2012-09-07",174.5001
"2012-09-10",174.8553
"2012-09-11",174.8607
"2012-09-12",175.2566
"2012-09-13",175.3976
"2012-09-14",176.0703
"2012-09-17",176.3833
"2012-09-18",176.247
"2012-09-19",176.3225
"2012-09-20",175.9417
"2012-09-21",175.9331
"2012-09-24",175.8038
"2012-09-25",175.6453
"2012-09-26",175.0885
"2012-09-27",174.9973
"2012-09-28",175.2462
"2012-10-01",175.2942
"2012-10-02",175.6379
"2012-10-03",175.9264
"2012-10-04",176.2589
"2012-10-05",176.5418
"2012-10-08",176.6739
"2012-10-09",176.6392
"2012-10-10",176.3408
"2012-10-11",176.4888
"2012-10-12",176.7308
"2012-10-15",177.1759
"2012-10-16",177.6373
"2012-10-17",178.4465
"2012-10-18",178.5545
"2012-10-19",178.6475
"2012-10-22",178.7135
"2012-10-23",178.6372
"2012-10-24",178.411
"2012-10-25",178.5468
"2012-10-26",178.4127
"2012-10-29",178.3862
"2012-10-30",178.4432
"2012-10-31",178.587
"2012-11-01",178.6993
"2012-11-02",178.7662
"2012-11-05",178.8319
"2012-11-06",178.9646
"2012-11-07",179.1375
"2012-11-08",179.2403
"2012-11-09",179.1323
"2012-11-12",179.2518
"2012-11-13",179.1187
"2012-11-14",179.2091
"2012-11-15",179.0393
"2012-11-16",178.9102
"2012-11-19",179.1504
"2012-11-20",179.2598
"2012-11-21",179.5034
"2012-11-22",179.8711
"2012-11-23",180.054
"2012-11-26",180.3044
"2012-11-27",180.4769
"2012-11-28",180.5321
"2012-11-29",180.7781
"2012-11-30",180.9913
"2012-12-03",181.2752
"2012-12-04",181.6335
"2012-12-05",181.9549
"2012-12-06",182.1914
"2012-12-07",182.3448
"2012-12-10",182.2185
"2012-12-11",182.4334
"2012-12-12",182.7113
"2012-12-13",183.0617
"2012-12-14",183.3838
"2012-12-17",183.5642
"2012-12-18",183.7978
"2012-12-19",183.9408
"2012-12-20",184.083
"2012-12-21",184.1849
"2012-12-24",184.2831
"2012-12-27",184.4198
"2012-12-28",184.5258
"2012-12-31",184.6054
"2013-01-02",185.3062
"2013-01-03",186.0015
"2013-01-04",186.2192
"2013-01-07",186.604
"2013-01-08",186.8785
"2013-01-09",187.1155
"2013-01-10",187.1849
