"DATE","PX_LAST"
"2004-12-31",141.8
"2005-01-03",141.9006
"2005-01-04",141.2961
"2005-01-05",141.4506
"2005-01-06",141.3667
"2005-01-07",141.218
"2005-01-10",141.2725
"2005-01-11",141.5537
"2005-01-12",141.6943
"2005-01-13",142.158
"2005-01-14",141.8181
"2005-01-18",142.054
"2005-01-19",142.2064
"2005-01-20",142.3767
"2005-01-21",142.5342
"2005-01-24",142.7906
"2005-01-25",142.2608
"2005-01-26",142.4303
"2005-01-27",142.3775
"2005-01-28",142.9481
"2005-01-31",142.9191
"2005-02-01",142.9195
"2005-02-02",142.9717
"2005-02-03",142.9306
"2005-02-04",143.7316
"2005-02-07",144.0324
"2005-02-08",144.3843
"2005-02-09",144.7668
"2005-02-10",143.9086
"2005-02-11",143.6369
"2005-02-14",143.9769
"2005-02-15",143.7113
"2005-02-16",143.2509
"2005-02-17",143.0881
"2005-02-18",142.4224
"2005-02-22",142.3323
"2005-02-23",142.3862
"2005-02-24",142.343
"2005-02-25",142.4998
"2005-02-28",141.7296
"2005-03-01",141.1537
"2005-03-02",141.2512
"2005-03-03",141.6492
"2005-03-04",142.3103
"2005-03-07",142.4578
"2005-03-08",141.8407
"2005-03-09",140.6885
"2005-03-10",141.2538
"2005-03-11",140.4684
"2005-03-14",140.6457
"2005-03-15",140.258
"2005-03-16",140.3917
"2005-03-17",140.3719
"2005-03-18",140.2382
"2005-03-21",140.054
"2005-03-22",139.1756
"2005-03-23",138.8328
"2005-03-24",139.1134
"2005-03-28",138.8126
"2005-03-29",139.0678
"2005-03-30",139.2254
"2005-03-31",139.6564
"2005-04-01",139.9159
"2005-04-04",140.0077
"2005-04-05",139.8099
"2005-04-06",140.1124
"2005-04-07",139.8799
"2005-04-08",139.8686
"2005-04-11",139.9747
"2005-04-12",140.7193
"2005-04-13",140.5652
"2005-04-14",140.6437
"2005-04-15",141.0089
"2005-04-18",140.9361
"2005-04-19",141.4337
"2005-04-20",141.5594
"2005-04-21",141.0431
"2005-04-22",141.7893
"2005-04-25",141.731
"2005-04-26",141.5483
"2005-04-27",141.8517
"2005-04-28",142.3211
