"DATE","PX_LAST"
"2004-12-31",1509.94
"2005-01-03",1511.22
"2005-01-04",1505.75
"2005-01-05",1506.48
"2005-01-06",1506.73
"2005-01-07",1505.96
"2005-01-10",1506.55
"2005-01-11",1509.73
"2005-01-12",1510.63
"2005-01-13",1514.89
"2005-01-14",1511.12
"2005-01-18",1512.96
"2005-01-19",1513.99
"2005-01-20",1515.84
"2005-01-21",1518.03
"2005-01-24",1520.71
"2005-01-25",1516.14
"2005-01-26",1516.51
"2005-01-27",1516.34
"2005-01-28",1521.5
"2005-01-31",1521.97
"2005-02-01",1522.02
"2005-02-02",1522.6
"2005-02-03",1521.63
"2005-02-04",1529.84
"2005-02-07",1533.38
"2005-02-08",1534.84
"2005-02-09",1539.36
"2005-02-10",1531.63
"2005-02-11",1529.66
"2005-02-14",1531.66
"2005-02-15",1529.92
"2005-02-16",1525.62
"2005-02-17",1524.08
"2005-02-18",1518.06
"2005-02-22",1516.32
"2005-02-23",1517.94
"2005-02-24",1517.26
"2005-02-25",1518.69
"2005-02-28",1512.9
"2005-03-01",1512.23
"2005-03-02",1511.77
"2005-03-03",1511.43
"2005-03-04",1517.9
"2005-03-07",1519.49
"2005-03-08",1514.08
"2005-03-09",1503.44
"2005-03-10",1507.68
"2005-03-11",1501.9
"2005-03-14",1503.28
"2005-03-15",1500.25
"2005-03-16",1499.79
"2005-03-17",1502.14
"2005-03-18",1499.15
"2005-03-21",1497.24
"2005-03-22",1489.87
"2005-03-23",1489.87
"2005-03-24",1491.7
"2005-03-28",1489.47
"2005-03-29",1491.06
"2005-03-30",1492.87
"2005-03-31",1492.85
"2005-04-01",1496.16
"2005-04-04",1495.87
"2005-04-05",1495.28
"2005-04-06",1497.96
"2005-04-07",1495.59
"2005-04-08",1494.3
"2005-04-11",1495.81
"2005-04-12",1502.88
"2005-04-13",1500.87
"2005-04-14",1499.82
"2005-04-15",1501.28
"2005-04-18",1503.81
"2005-04-19",1509.09
"2005-04-20",1510.2
"2005-04-21",1505.15
"2005-04-22",1510.15
"2005-04-25",1511.17
"2005-04-26",1509.7
"2005-04-27",1511.84
"2005-04-28",1516.88
"2005-04-29",1512.21
"2005-05-02",1512.85
"2005-05-03",1511.45
"2005-05-04",1513.88
"2005-05-05",1515.1
