"DATE","PX_LAST"
"2006-12-29",100.
"2007-01-31",99.9741
"2007-02-28",100.982
"2007-03-30",100.7284
"2007-04-30",100.6858
"2007-05-31",99.9209
"2007-06-29",99.5255
"2007-07-31",99.87
"2007-08-31",100.2202
"2007-09-28",100.0967
"2007-10-31",100.9
"2007-11-30",100.4318
"2007-12-31",99.9689
"2008-01-31",101.3212
"2008-02-29",101.2393
"2008-03-31",99.4862
"2008-04-30",100.3074
"2008-05-30",99.6946
"2008-06-30",98.4406
"2008-07-31",99.5401
"2008-08-29",100.3834
"2008-09-30",96.0799
"2008-10-31",93.9986
"2008-11-28",95.2798
"2008-12-31",95.7093
"2009-01-30",95.7662
"2009-02-27",95.2231
"2009-03-31",94.9379
"2009-04-30",97.7877
"2009-05-29",100.1343
"2009-06-30",102.3754
"2009-07-31",106.0643
"2009-08-31",107.2776
"2009-09-30",108.9731
"2009-10-30",109.9589
"2009-11-30",110.8669
"2009-12-31",110.8349
"2010-01-29",112.6681
"2010-02-26",113.2839
"2010-03-31",114.4902
"2010-04-30",115.096
"2010-05-31",114.3902
"2010-06-30",114.6163
"2010-07-30",116.0909
"2010-08-31",118.2075
"2010-09-30",117.962
"2010-10-29",117.9786
"2010-11-30",116.2316
"2010-12-31",115.9738
"2011-01-31",115.4894
"2011-02-28",116.4457
"2011-03-31",116.121
"2011-04-29",117.2814
"2011-05-31",118.3315
"2011-06-30",117.7989
"2011-07-29",119.1242
"2011-08-31",117.4686
"2011-09-30",115.7998
"2011-10-31",118.1169
"2011-11-30",114.3131
"2011-12-30",117.3274
"2012-01-31",120.8651
"2012-02-29",123.1114
"2012-03-30",124.233
"2012-04-30",124.349
"2012-05-31",124.4371
"2012-06-29",124.2891
"2012-07-31",127.238
"2012-08-31",128.6137
"2012-09-28",129.7144
"2012-10-31",131.1955
"2012-11-30",132.363
"2012-12-31",133.7438
"2013-01-31",132.1604
"2013-02-28",133.7959
"2013-03-29",134.4133
"2013-04-30",136.3546
"2013-05-30",136.1258
"2013-05-31",136.1049
"2013-06-03",135.8526
"2013-06-04",135.7803
"2013-06-05",135.7624
"2013-06-06",135.3423
"2013-06-07",135.2988
"2013-06-10",135.1831
"2013-06-11",134.8575
"2013-06-12",134.9034
"2013-06-13",134.8269
"2013-06-14",135.2058
"2013-06-17",135.266
